Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5841951888463517,0.5372835837952117,0.49242900405691103,0.49242900405691103,0.49242900405691103,0.49242900405691103,0.49242900405691103,0.5023141534769442,0.5841951888463517,0.5023141534769442,0.47431575338552084,0.47431575338552084,0.5023141534769442,0.4739157762413576,0.46945888806353925,0.4712302154162619,0.4712302154162619,0.4641449060053711,0.45677389863436374
firefox,0.6426489914862008,0.5733958059539455,0.5733958059539455,0.5733958059539455,0.5733958059539455,0.5733958059539455,0.5733958059539455,0.5385977944117479,0.4825438546368779,0.5385977944117479,0.5385977944117479,0.5385977944117479,0.49602879835437974,0.49602879835437974,0.4790011999314325,0.4666590480543969,0.44134620878806924,0.40894806011085083,0.39060625107136737
eclipse,0.46248785783669505,0.5694531741043369,0.5444831723901491,0.5444831723901491,0.5444831723901491,0.5444831723901491,0.5132278155533969,0.5132278155533969,0.5694531741043369,0.5132278155533969,0.5132278155533969,0.5132278155533969,0.5132278155533969,0.5023141534769442,0.4902005599680018,0.5023141534769442,0.4902005599680018,0.4880292554711159,0.47837266441917603
