Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
firefox,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
eclipse,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
