Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5
chromium,0.8133537597344568,0.5527894804034215,0.5524064853823567,0.5229158687603728,0.5151283033320567,0.40035746201966044,0.39984680199157413,0.36537725009574873,0.8798672283926976
firefox,0.7780272654370489,0.5764234161988773,0.5688853247794707,0.4450681635926223,0.44490777866880515,0.410906174819567,0.3805934242181235,0.37209302325581395,0.8809943865276664
eclipse,0.7863931965982992,0.6231865932966483,0.6260630315157579,0.4502251125562781,0.5115057528764382,0.47073536768384194,0.3884442221110555,0.3703101550775388,0.866808404202101
