Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.40043426089937717,0.39929146905891094,0.3963202102736986,0.33295240271984455,0.2148448660076567,0.2135306553911205,0.1278784069481744,0.14730586823610078,0.07022455859665162,0.03742643277526998
firefox,0.4062053596937318,0.4381463916347637,0.3829495457402434,0.24890006285355123,0.29941146220215986,0.2174732872407291,0.1988457802411291,0.12604994000342837,0.07999542883263813,0.037826409919433174
eclipse,0.4596308782355294,0.4407748128678361,0.2962687846408777,0.270213130678247,0.29232615279126906,0.18050397120164563,0.16216216216216217,0.1354208330952517,0.09033769498885778,0.03154105479686875
