Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.6098744292237442,0.6097595878649112,0.6088523644752019,0.6217607688347349,0.6231382978723404,0.6224244046026224,0.597408400357462,0.5989138867339022,0.5939788445890968,0.5908396946564886
firefox,0.7641018427345618,0.7494783515910276,0.7612652939421068,0.7699724517906336,0.7515267175572519,0.7637940094587493,0.7617816091954023,0.7842248413417952,0.7814285714285715,0.7930513595166163
eclipse,0.6291645947289906,0.6302826030593726,0.6513018322082932,0.6574328610699937,0.6444487881157154,0.6533713200379867,0.6560958421423537,0.6426160337552742,0.6331435800126503,0.6413043478260869
