Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5796097755876674,0.6041666666666666,0.5395625440983772,0.5395625440983772,0.5395625440983772,0.5395625440983772,0.5395625440983772,0.5742635658914729,0.5796097755876674,0.5742635658914729,0.5422382671480145,0.5422382671480145,0.5742635658914729,0.5736186521877994,0.5333333333333333,0.5576923076923077,0.5576923076923077,0.5824800910125142,0.5735159817351598
firefox,0.684318917328626,0.7067014795474326,0.7067014795474326,0.7067014795474326,0.7067014795474326,0.7067014795474326,0.7067014795474326,0.7264084007379027,0.6597744360902256,0.7264084007379027,0.7264084007379027,0.7264084007379027,0.7423701942132382,0.7423701942132382,0.7299785867237687,0.7522193211488251,0.7561059511523908,0.7767106842737095,0.7990049751243781
eclipse,0.5069346164732522,0.5701666904117396,0.5696628192311188,0.5696628192311188,0.5696628192311188,0.5696628192311188,0.5788295490885833,0.5788295490885833,0.5701666904117396,0.5788295490885833,0.5788295490885833,0.5788295490885833,0.5788295490885833,0.5983667409057164,0.5956678700361011,0.5983667409057164,0.5956678700361011,0.6077500988533017,0.6163366336633663
