Treatment,chromium,firefox,eclipse
CLAMI,0.6041186831052703,0.7990049751243781,0.6163366336633663
CLA+SUP,0.6599759132878362,0.7804444444444445,0.6918011195258479
CLA,0.690724369969653,0.788845024800081,0.6870611835506519
