Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.31928260263510094,0.5349758312338955,0.475604892555546,0.475604892555546,0.475604892555546,0.475604892555546,0.475604892555546,0.4819325255259484,0.31928260263510094,0.4819325255259484,0.4257912795379845,0.4257912795379845,0.4819325255259484,0.3035582493869352,0.42774042835042825,0.328641060857076,0.328641060857076,0.18966692516113026,0.12151920494721832
firefox,0.4525058598669707,0.5720668104513891,0.5720668104513891,0.5720668104513891,0.5720668104513891,0.5720668104513891,0.5720668104513891,0.5481759133467885,0.49078302604406954,0.5481759133467885,0.5481759133467885,0.5481759133467885,0.46828546538858945,0.46828546538858945,0.43876008754777446,0.392928960651298,0.319801913748637,0.20471278124821574,0.13277241032320844
eclipse,0.45190503240734375,0.380013966084006,0.5039762135443386,0.5039762135443386,0.5039762135443386,0.5039762135443386,0.4857994479631362,0.4857994479631362,0.380013966084006,0.4857994479631362,0.4857994479631362,0.4857994479631362,0.4857994479631362,0.38568322368601765,0.31157232525630496,0.38568322368601765,0.31157232525630496,0.27300928122424967,0.18819581125823742
