Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5392327601966694,0.5384080599969041,0.5376048787518894,0.5412859143435212,0.5435846127073966,0.5415381075097608,0.5285172899984656,0.5209023577989512,0.5182147284118792,0.5174968546628596
firefox,0.5584483148856703,0.551443916881807,0.5463447839500081,0.545702392112049,0.5374569197349409,0.5337863729690955,0.5350101167914806,0.5266321826067341,0.521903376716585,0.5150504397136585
eclipse,0.5556809033021047,0.5555885662023191,0.555502246643998,0.5591153564802709,0.5508789893752499,0.5481537825102387,0.5492378056340744,0.5382899259292376,0.5280691888621615,0.5207163423230851
