Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5355693960345124,0.5352265584823724,0.5338552082738129,0.5286555053996914,0.5004856865321982,0.4998571510199417,0.4724872864407748,0.47671561625049996,0.4607736700759957,0.4543740357693846
firefox,0.5708245243128964,0.5748814353465517,0.5563682075309982,0.4906576767041883,0.5068853208388092,0.47100165704816865,0.46037369293183245,0.42791840466259073,0.4012913547797269,0.3784355179704017
eclipse,0.5756242500428547,0.5717387577852694,0.5465401977029885,0.5419690303411233,0.5413404948288669,0.5122564424890006,0.5075138563510656,0.49551454202616996,0.4809439460602251,0.4658019541740472
