Treatment,chromium,firefox,eclipse
CLAMI,0.0596195582790757,0.045228548516439454,0.07753876938469234
CLA+SUP,0.021958381207710966,0.02020850040096231,0.020260130065032515
CLA,0.032809906804544875,0.0214915797914996,0.02351175587793897
