Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5265606169293781,0.5258966628012415,0.5236629459874619,0.492604703729273,0.3740283765616112,0.3720096019978419,0.23920322304064673,0.26976940256274423,0.1397440947456098,0.07687181391898529
firefox,0.5810692711203146,0.5872643186247486,0.5628486301376383,0.43951682373412815,0.4848743659692678,0.39651453752461596,0.37016025509853484,0.26333835196019045,0.17621766781580023,0.08896198004588997
eclipse,0.5758477592363395,0.5698997491998202,0.48699637163760295,0.46389387256614656,0.4787663083518926,0.3469928024457771,0.3203199386298753,0.2717594431579728,0.18914830143744144,0.0717471451220104
