Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5875925617518069,0.5857499627225587,0.5839554427469461,0.5921798527927923,0.5973157547545175,0.5927433192299735,0.5636513586445978,0.5466375799616318,0.5406327029153943,0.5390287825168761
firefox,0.6639781810447681,0.6443175604408149,0.6300048217977712,0.6282016943629387,0.6050575063803035,0.5947546613203127,0.5981895836355561,0.5746735890618219,0.5614003201149833,0.5421648348722888
eclipse,0.6218073397561432,0.6216052397582275,0.6214163104698033,0.6293243939171029,0.611297297780927,0.6053325847563438,0.6077052071538154,0.5837433708963911,0.5613730458074903,0.5452797282386574
0.5875, 0.66397, 0.6218
