Treatment,chromium,firefox,eclipse
CLAMI,0.553499534474333,0.6056324634119217,0.5422292813950366
CLA+SUP,0.5997245140212568,0.6625337771418367,0.6178775605582922
CLA,0.7218766454960295,0.8020570868397641,0.7571590766451192
