Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.8580652534140907,0.4306039654876864,0.5668818924632878,0.5668818924632878,0.5668818924632878,0.5668818924632878,0.5668818924632878,0.36855036855036855,0.8580652534140907,0.36855036855036855,0.3165533398091538,0.3165533398091538,0.36855036855036855,0.17890406262499287,0.3282669561739329,0.20501685617964688,0.20501685617964688,0.10045140277698417,0.06256785326552769
firefox,0.7768698931489629,0.5252271298782927,0.5252271298782927,0.5252271298782927,0.5252271298782927,0.5252271298782927,0.5252271298782927,0.4026627049882864,0.3951774184332324,0.4026627049882864,0.4026627049882864,0.4026627049882864,0.2883263813496372,0.2883263813496372,0.2668418947488715,0.21884463744928861,0.16610479401177075,0.09519456031083938,0.057425289983429516
eclipse,0.4037483572367293,0.8021255928232672,0.6287069310325124,0.6287069310325124,0.6287069310325124,0.6287069310325124,0.3573510085137992,0.3573510085137992,0.8021255928232672,0.3573510085137992,0.3573510085137992,0.3573510085137992,0.3573510085137992,0.23090109136620765,0.17410433689503457,0.23090109136620765,0.17410433689503457,0.14450602822695846,0.09233758070967374
