Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5
chromium,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
firefox,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
eclipse,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
