Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.9002896152254861,0.4709350434422838,0.5536822507240381,0.5536822507240381,0.5536822507240381,0.5536822507240381,0.5536822507240381,0.38311956971452216,0.9002896152254861,0.38311956971452216,0.3107157633429872,0.3107157633429872,0.38311956971452216,0.18576748034753826,0.3169218038891187,0.20697145221348778,0.20697145221348778,0.10591642532064542,0.06495655771617707
firefox,0.8258476832948696,0.5766021658086278,0.5766021658086278,0.5766021658086278,0.5766021658086278,0.5766021658086278,0.5766021658086278,0.4543759985797976,0.4050239659151429,0.4543759985797976,0.4543759985797976,0.4543759985797976,0.33250488194567723,0.33250488194567723,0.30259186934138116,0.25572519083969464,0.1951003017930055,0.11485886738860288,0.07127640688798154
eclipse,0.37685428721725406,0.8420831141504471,0.6594423987375065,0.6594423987375065,0.6594423987375065,0.6594423987375065,0.38085218306154656,0.38085218306154656,0.8420831141504471,0.38085218306154656,0.38085218306154656,0.38085218306154656,0.38085218306154656,0.2543924250394529,0.19095213045765386,0.2543924250394529,0.19095213045765386,0.1617043661230931,0.10478695423461336
