Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5
chromium,0.734595660749507,0.7194804006769429,0.7194619818830634,0.710632318501171,0.7105486026159781,0.6792511217700758,0.6791868744195646,0.530550017591181,0.7209886078393511
firefox,0.8061923632458057,0.8122926907245334,0.8123471637602726,0.7877924544591212,0.7877741322742187,0.767173360674007,0.6746671849188611,0.6672552481852069,0.7894831882697099
eclipse,0.7335204490777867,0.7335664335664336,0.7380641794938688,0.7328369754399535,0.7372869549064227,0.7281092739036664,0.6904465212876427,0.6817532913868768,0.717490538800671
