Treatment,chromium,firefox,eclipse
LR,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
DT,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
RF,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
SVM,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
NB,"[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]","[0.00000000e+00 5.71395920e-05 1.14279184e-04 ... 9.99885721e-01
 9.99942860e-01 1.00000000e+00]"
