Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.3490361291969871,0.34814247414783606,0.34635516404953404,0.28137367547555214,0.18090131494957232,0.18013532490744286,0.11502617132643943,0.13200561726030896,0.06370483850376611,0.034214221881782206
firefox,0.2689655172413793,0.3080994386527666,0.2566158781074579,0.1607056936647955,0.20882117080994386,0.14418604651162792,0.13295910184442664,0.07634322373696872,0.04907778668805132,0.021972734562951082
eclipse,0.3730615307653827,0.3566783391695848,0.22611305652826413,0.20260130065032517,0.22748874437218608,0.13694347173586793,0.12206103051525763,0.105927963981991,0.07253626813406704,0.024762381190595296
