Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.44207695490277205,0.4407323127844435,0.4368018204385602,0.3747414149772445,0.24234588332643772,0.24058750517170047,0.13829127016963177,0.15970211005378568,0.07550682664460075,0.04002896152254862
firefox,0.48215870761583524,0.5101189419492278,0.4528670335522812,0.29770992366412213,0.3495473104917451,0.258033019705308,0.23530978164388425,0.15355938221196522,0.09710633765311556,0.04660039055565418
eclipse,0.5324566017885324,0.5115202524986849,0.35528669121514994,0.3270910047343503,0.3468700683850605,0.2171488690163072,0.1958968963703314,0.16023145712782746,0.10531299316149395,0.03724355602314571
