Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5
chromium,0.8960630821095937,0.6968173247243015,0.6965316267641849,0.6675047140163419,0.6620193131821038,0.5554539740586252,0.555053996914462,0.42203302668418946,0.9272041597622993
firefox,0.8990914804868293,0.7860693674647163,0.7816124792868979,0.6799611450774241,0.6798468658933775,0.6380778241243358,0.5323124392891835,0.5212273584366608,0.9384035197988686
eclipse,0.8819496028798355,0.7642420433118108,0.7709845151705617,0.6387634992286155,0.6872750128564082,0.6491057653848351,0.5573967201874178,0.5375692817553283,0.9214330609679446
