Treatment,chromium,firefox,eclipse
LR,0.42511377741001244,0.49085744718622404,0.33056286165176224
DT,0.572920976417046,0.5185513935735843,0.49247764334560756
RF,0.5898841539098055,0.5331972306053613,0.5021567596002104
SVM,0.47165908150599917,0.4739925439375111,0.3881115202524987
NB,0.510757136946628,0.45535238771524944,0.4099947396107312
