Treatment,chromium,firefox,eclipse
LR,"[0.00000000e+00 1.03434009e-04 1.03434009e-04 ... 9.99896566e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 8.87626487e-05 1.77525297e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 1.05207785e-04 1.05207785e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"
DT,"[0.00000000e+00 1.03434009e-04 1.03434009e-04 ... 9.99896566e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 8.87626487e-05 1.77525297e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 1.05207785e-04 2.10415571e-04 ... 9.99894792e-01
 1.00000000e+00 1.00000000e+00]"
RF,"[0.00000000e+00 1.03434009e-04 2.06868018e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 8.87626487e-05 1.77525297e-04 ... 9.99911237e-01
 9.99911237e-01 1.00000000e+00]","[0.00000000e+00 1.05207785e-04 2.10415571e-04 ... 9.99894792e-01
 1.00000000e+00 1.00000000e+00]"
SVM,"[0.00000000e+00 0.00000000e+00 1.03434009e-04 ... 9.99896566e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 8.87626487e-05 1.77525297e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 1.05207785e-04 1.05207785e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"
NB,"[0.00000000e+00 1.03434009e-04 2.06868018e-04 ... 9.99793132e-01
 9.99896566e-01 1.00000000e+00]","[0.00000000e+00 8.87626487e-05 8.87626487e-05 ... 9.99822475e-01
 9.99911237e-01 1.00000000e+00]","[0.00000000e+00 0.00000000e+00 1.05207785e-04 ... 9.99789584e-01
 9.99894792e-01 1.00000000e+00]"
