Treatment,CLA_10,CLA_15,CLA_20,CLA_25,CLA_30,CLA_35,CLA_40,CLA_45,CLA_5,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.8059491893272054,0.3808247159453594,0.5831737520745564,0.5831737520745564,0.5831737520745564,0.5831737520745564,0.5831737520745564,0.350568109281246,0.8059491893272054,0.350568109281246,0.3237584578067152,0.3237584578067152,0.350568109281246,0.17043278437380313,0.34226988382484363,0.20260436614324015,0.20260436614324015,0.09370611515383634,0.0596195582790757
firefox,0.6883720930232559,0.43239775461106655,0.43239775461106655,0.43239775461106655,0.43239775461106655,0.43239775461106655,0.43239775461106655,0.30922213311948676,0.37738572574178025,0.30922213311948676,0.30922213311948676,0.30922213311948676,0.20850040096230954,0.20850040096230954,0.20224538893344027,0.15220529270248598,0.11371291098636728,0.05966319165998396,0.03239775461106656
eclipse,0.43571785892946474,0.7546273136568284,0.5921710855427714,0.5921710855427714,0.5921710855427714,0.5921710855427714,0.32941470735367684,0.32941470735367684,0.7546273136568284,0.32941470735367684,0.32941470735367684,0.32941470735367684,0.32941470735367684,0.20297648824412207,0.15407703851925963,0.20297648824412207,0.15407703851925963,0.12406203101550775,0.07753876938469234
