Treatment,CLA_50,CLA_55,CLA_60,CLA_65,CLA_70,CLA_75,CLA_80,CLA_85,CLA_90,CLA_95
chromium,0.5125929479491486,0.5116474543707974,0.5086726090098772,0.46763472087770247,0.34897229669347635,0.3470346885490489,0.22459264236519405,0.2521639719091948,0.13398182986142976,0.07497820401046208
firefox,0.5912380952380952,0.6070560895743108,0.5678984861976848,0.42939444373319674,0.47715982067127105,0.38574840764331203,0.35955513359555136,0.2568289786223278,0.1727459339965261,0.08802816901408451
eclipse,0.5767850019944156,0.564725013066961,0.4597685500340368,0.43684136574399324,0.45099514397100066,0.32596336070751736,0.30170947095519723,0.25650526315789474,0.18058812917192857,0.0703987272546485
