Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.9617333333333333,0.9546666666666667,1.0,0.8643393009377663,0.9697026604068857,0.9641379310344829,0.9331188811188812,0.8581818181818182,1.0
CLA+SUP,0.9885333333333333,0.7693333333333334,0.9981196581196582,0.9603665814151747,0.9166666666666669,0.926896551724138,0.7719906759906761,0.9563636363636364,0.6272222222222222
CLA,0.9753333333333333,0.8959999999999999,0.9715667070173508,0.9812702472293264,0.8867683881064164,0.8882758620689654,0.9289790209790209,0.9781818181818182,0.8672222222222223
