Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.9438573403039101,0.9974261603375528,0.8251963370582174,0.5767079421863823,0.8005627877634522,0.6060230831735812,0.9695368308821224,0.6826338913987068,0.932735252030554
CLA+SUP,0.7040569944065801,0.7758059071729956,0.6757227602616954,0.7274395794985038,0.7855729999895434,0.5555700186968974,0.6044820471008816,0.5773434638707027,0.6821581312856476
CLA,0.973048601060206,0.9527426160337553,0.7957716557741378,0.8218341345773784,0.9364986877463743,0.7983332149985407,0.8463792112222616,0.8736577199043317,0.9345164963621339
