Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.9517333333333333,0.9466666666666668,1.0,0.9876470588235294,0.9422456964006259,0.9393103448275862,0.9876923076923078,0.6743083003952569,1.0
CLA+SUP,0.8342666666666666,0.7306666666666666,1.0,0.9585763000852515,0.9589201877934272,0.8027586206896552,0.6765407925407927,0.9523636363636363,0.7430555555555555
CLA,0.9834666666666666,0.9053333333333333,0.9710634239389606,0.9188235294117646,0.8895852895148668,0.8689655172413794,0.894088578088578,0.9636363636363637,0.8159722222222222
