Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.9231755915779994,0.9974261603375528,0.9023096236295625,0.5987165361203947,0.8002884518195533,0.7762088687982707,0.9695368308821224,0.7155553837605392,0.921689642662797
CLA+SUP,0.7212797996543956,0.698295358649789,0.58256399796484,0.6988060198361603,0.7706592462470945,0.5503771724295711,0.607022735112422,0.5094185973473774,0.6372171836265793
CLA,0.973048601060206,0.931409282700422,0.7957716557741378,0.8505912230871764,0.9364986877463743,0.7883321894303363,0.8463792112222616,0.8722451461197145,0.9312105729890965
