Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.9574699779830356,0.9956540084388186,0.8248483741166477,0.5425166338527988,0.8010600674076624,0.6887537768521367,0.9695368308821224,0.6587232140700118,0.9397350706411107
CLA+SUP,0.703751731387186,0.7752827004219409,0.6970504151593445,0.7659902215232237,0.7699144682497352,0.4807923697725607,0.6728241504385011,0.4942506220858598,0.6775429792208313
CLA,0.9768287267294136,0.9362278481012659,0.7884552144385171,0.7664344180440539,0.9062340934993779,0.7299311291505927,0.8383286190640458,0.8736577199043317,0.9409793014491001
