Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.056847188231888626,0.2338441039307129,0.03761061946902655,0.7713936430317848,0.006062855728780005,0.12674445207046442,0.025624599615631013,0.192755311000297,0.12733085434427713
CLA+SUP,0.031918019701235936,0.12974683544303797,0.03768289412580369,0.04302820681018547,0.033964365256124715,0.15003431708991075,0.03035529492928596,0.11916467357604747,0.09119354253582443
CLA,0.01324123049393437,0.03682393555811277,0.04333477228577595,0.032612455177384765,0.028418708240534524,0.058333853289241074,0.01601537475976938,0.04467977677385065,0.07756142823256917
