Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.00418497758830908,0.1807594936708861,0.007788199281831918,0.29427825153557163,0.004543429844097996,0.04127659574468085,0.0035874439461883404,0.22543892284524758,0.13589334300743697
CLA+SUP,0.02084980219818777,0.0779746835443038,0.016494123187410472,0.01848076808396446,0.005612472160356347,0.07337908945321438,0.013273542600896861,0.016601116130746746,0.04778523489932885
CLA,0.01324123049393437,0.03189873417721519,0.038373722112120555,0.014666348619476416,0.021202672605790642,0.03293983070235644,0.008968609865470852,0.06559482682257065,0.03495737348086342
