Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.037520211456423654,0.2175216522318454,0.05009856321101734,0.4803036025470278,0.0073496659242761695,0.03836650652024708,0.12007972097658198,0.17374854889016322,0.13078417520310845
CLA+SUP,0.008372586686315273,0.25546605293440733,0.011637527879703576,0.10822947104776671,0.019209354120267263,0.20790436970944862,0.05455904334828102,0.06952785897776596,0.13326941514860977
CLA,0.009219055638886696,0.02278481012658228,0.031105507917508782,0.021295531153006256,0.02200445434298441,0.0456937251721054,0.01601537475976938,0.03674993356364603,0.055903749033385214
