Treatment,derby,mvn,lucence,phoenix,cass,jmeter,tomcat,ant,commons
CLAMI,0.9916666666666667,0.9546666666666667,1.0,0.9565124726639237,0.8717510376267265,0.953103448275862,0.9195990675990676,0.737090909090909,1.0
CLA+SUP,0.9536,0.8253333333333334,0.9970896152012031,0.9941773231031543,0.9438028169014084,0.8275862068965517,0.8020046620046619,1.0,0.8780193236714975
CLA,0.9833333333333333,0.9733333333333333,0.9739738087377572,0.9771867007672634,0.9064866979655711,0.8924137931034483,0.9534545454545454,0.9818181818181819,0.8533333333333334
